languages,ISO CODE,ISO 2 CODE,S_SVO,S_SOV,S_VSO,S_SUBJECT_BEFORE_VERB,S_SUBJECT_AFTER_VERB,S_OBJECT_BEFORE_VERB,S_OBJECT_AFTER_VERB,S_POSSESSOR_BEFORE_NOUN,S_POSSESSOR_AFTER_NOUN,S_ADJECTIVE_BEFORE_NOUN,S_ADJECTIVE_AFTER_NOUN,S_NUMERAL_BEFORE_NOUN,S_NUMERAL_AFTER_NOUN,S_OBLIQUE_AFTER_VERB,S_OBLIQUE_AFTER_OBJECT,S_OBLIQUE_BEFORE_VERB,S_OBLIQUE_BEFORE_OBJECT,
Afrikaans,afr,af,1,1,0,1,0,1,1,0,1,1,0,1,0,--,--,--,--,from Dutch
Akkadian,akk,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Amharic,amh,am,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,
Ancient_Greek,grc,grc,1,0,1,1,1,0,1,0,1,1,0,1,0,--,--,--,--,from Greek
Arabic,ara,ar,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,
Armenian,arm,hy,1,1,0,1,0,1,1,1,0,1,0,1,0,--,--,--,--,
Assyrian,aii,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Bambara,bam,bm,0,1,0,1,0,1,0,1,0,0,1,0,1,--,--,--,--,
Basque,eus,eu,0,1,0,1,0,1,0,1,0,0,1,1,0,--,--,--,--,
Belarusian,bel,be,1,0,0,1,1,1,1,0,1,1,0,1,0,--,--,--,--,from Russian
Bhojpuri,bho,bho,0,1,0,1,0,1,0,1,0,1,0,1,0,--,--,--,--,
Breton,bre,br,1,0,0,1,1,0,1,0,1,0,1,1,0,--,--,--,--,
Bulgarian,bul,bg,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,
Buryat,bxr,bxr,0,1,0,1,0,1,0,1,0,1,0,1,0,--,--,--,--,
Cantonese,yue,yue,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,
Catalan,cat,ca,1,0,0,1,1,0,1,0,1,0,1,1,0,--,--,--,--,
Chinese,zho,zh,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,
Classical_Chinese,lzh,lzh,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,from Chinese
Coptic,cop,cop,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,
Croatian,hrv,hr,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Czech,ces,cs,1,0,0,1,0,0,1,1,1,1,0,1,0,--,--,--,--,
