,Source Language Code,Target Language Code,Muse,Vecmap,genetic,syntactic,featural,phonological,inventory,geographic,syntax_src_0,syntax_src_1,syntax_src_2,syntax_src_3,syntax_src_4,syntax_src_5,syntax_src_6,syntax_src_7,syntax_src_8,syntax_src_9,syntax_src_10,syntax_src_11,syntax_src_12,syntax_src_13,syntax_src_14,syntax_src_15,syntax_src_16,syntax_src_17,syntax_src_18,syntax_src_19,syntax_src_20,syntax_src_21,syntax_src_22,syntax_src_23,syntax_src_24,syntax_src_25,syntax_src_26,syntax_src_27,syntax_src_28,syntax_src_29,syntax_src_30,syntax_src_31,syntax_src_32,syntax_src_33,syntax_src_34,syntax_src_35,syntax_src_36,syntax_src_37,syntax_src_38,syntax_src_39,syntax_src_40,syntax_src_41,syntax_src_42,syntax_src_43,syntax_src_44,syntax_src_45,syntax_src_46,syntax_src_47,syntax_src_48,syntax_src_49,syntax_src_50,syntax_src_51,syntax_src_52,syntax_src_53,syntax_src_54,syntax_src_55,syntax_src_56,syntax_src_57,syntax_src_58,syntax_src_59,syntax_src_60,syntax_src_61,syntax_src_62,syntax_src_63,syntax_src_64,syntax_src_65,syntax_src_66,syntax_src_67,syntax_src_68,syntax_src_69,syntax_src_70,syntax_src_71,syntax_src_72,syntax_src_73,syntax_src_74,syntax_src_75,syntax_src_76,syntax_src_77,syntax_src_78,syntax_src_79,syntax_src_80,syntax_src_81,syntax_src_82,syntax_src_83,syntax_src_84,syntax_src_85,syntax_src_86,syntax_src_87,syntax_src_88,syntax_src_89,syntax_src_90,syntax_src_91,syntax_src_92,syntax_src_93,syntax_src_94,syntax_src_95,syntax_src_96,syntax_src_97,syntax_src_98,syntax_src_99,syntax_src_100,syntax_src_101,syntax_src_102,syntax_tgt_0,syntax_tgt_1,syntax_tgt_2,syntax_tgt_3,syntax_tgt_4,syntax_tgt_5,syntax_tgt_6,syntax_tgt_7,syntax_tgt_8,syntax_tgt_9,syntax_tgt_10,syntax_tgt_11,syntax_tgt_12,syntax_tgt_13,syntax_tgt_14,syntax_tgt_15,syntax_tgt_16,syntax_tgt_17,syntax_tgt_18,syntax_tgt_19,syntax_tgt_20,syntax_tgt_21,syntax_tgt_22,syntax_tgt_23,syntax_tgt_24,syntax_tgt_25,syntax_tgt_26,syntax_tgt_27,syntax_tgt_28,syntax_tgt_29,syntax_tgt_30,syntax_tgt_31,syntax_tgt_32,syntax_tgt_33,syntax_tgt_34,syntax_tgt_35,syntax_tgt_36,syntax_tgt_37,syntax_tgt_38,syntax_tgt_39,syntax_tgt_40,syntax_tgt_41,syntax_tgt_42,syntax_tgt_43,syntax_tgt_44,syntax_tgt_45,syntax_tgt_46,syntax_tgt_47,syntax_tgt_48,syntax_tgt_49,syntax_tgt_50,syntax_tgt_51,syntax_tgt_52,syntax_tgt_53,syntax_tgt_54,syntax_tgt_55,syntax_tgt_56,syntax_tgt_57,syntax_tgt_58,syntax_tgt_59,syntax_tgt_60,syntax_tgt_61,syntax_tgt_62,syntax_tgt_63,syntax_tgt_64,syntax_tgt_65,syntax_tgt_66,syntax_tgt_67,syntax_tgt_68,syntax_tgt_69,syntax_tgt_70,syntax_tgt_71,syntax_tgt_72,syntax_tgt_73,syntax_tgt_74,syntax_tgt_75,syntax_tgt_76,syntax_tgt_77,syntax_tgt_78,syntax_tgt_79,syntax_tgt_80,syntax_tgt_81,syntax_tgt_82,syntax_tgt_83,syntax_tgt_84,syntax_tgt_85,syntax_tgt_86,syntax_tgt_87,syntax_tgt_88,syntax_tgt_89,syntax_tgt_90,syntax_tgt_91,syntax_tgt_92,syntax_tgt_93,syntax_tgt_94,syntax_tgt_95,syntax_tgt_96,syntax_tgt_97,syntax_tgt_98,syntax_tgt_99,syntax_tgt_100,syntax_tgt_101,syntax_tgt_102
0,az,be,4.8,15.86,1.0,0.7441,0.8524,0.0002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,1.0,1.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,--,--,0.0,1.0,0.0,--,--,1.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,az,cs,21.4,32.43,1.0,0.6555,0.6878,0.0002,0.6784,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,--,--,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--
2,az,en,23.6,32.38,1.0,0.5654,0.5839,0.5687,0.5983,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
3,az,es,32.6,37.81,1.0,0.5588,0.629,0.5922,0.6832,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
4,az,gl,13.6,28.48,1.0,0.718,0.696,0.0002,0.6552,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,--,--,1.0,0.0,--,--,--,--,--,1.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,--,--,--,1.0,0.0,--,--,--,--,--,--,1.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--
5,az,pt,26.7,37.29,1.0,0.6128,0.6463,0.0002,0.6328,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,--,--,0.0,1.0,0.0,1.0,--,--,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,--,--,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,--,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--
6,az,ru,10.4,26.58,1.0,0.5654,0.6364,0.6162,0.688,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,--,--,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--
7,az,sk,15.0,29.38,1.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,az,tr,31.8,28.71,1.0,0.5522,0.5932,0.5922,0.6196,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,--,0.0,1.0,0.0,1.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
9,be,az,4.0,14.41,1.0,0.7441,0.8524,0.0002,0.0,1.0,--,--,--,--,--,--,1.0,1.0,1.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,--,--,0.0,1.0,0.0,--,--,1.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,--,--,--,--,--,--,--,--,--,1.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,--,1.0,0.0,1.0,0.0,--,--,--,--,1.0,0.0,--,--,--,--,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,--,--,--,--,--,--,0.0,1.0,--,0.0,1.0,0.0,0.0,1.0,--,1.0,--,1.0,1.0,1.0,0.0,1.0,--,--,0.0,1.0,0.0,1.0,0.0,--,--,--,--,--,--,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
