language,language code,data size,sentence length,OHIOSTATE-01-2,NLPCUBE-01-2,ITU-01-2,CHARLES-SAARLAND-01-2,CHARLES-SAARLAND-02-2,CARNEGIEMELLON-02-2,CBNU-01-2,UFALPRAGUE-01-2,EDINBURGH-01-2,RUG-02-2,CMU-01-2-DataAug
UD_Afrikaans-AfriBooms,afr,1547,25.11,98.52,98.65,98.54,98.95,98.95,92.29,98.49,99.15,98.43,95.43,98.54
UD_Akkadian-PISANDUB,aka,80,17.81,67.33,53.47,58.42,65.35,65.35,59.41,67.82,55.45,67.82,45.54,66.83
UD_Amharic-ATT,amh,859,9.26,98.68,100,99.73,100,100,100,99.91,100,98.3,98.49,98.68
UD_Ancient_Greek-PROIEL,grc,13664,12.55,93.59,88.45,95.76,92.34,92.34,95.69,96.75,93.95,97.49,95.77,95.43
UD_Ancient_Greek-Perseus,grc,11135,14.56,93.58,82.24,92.54,89.69,89.69,79.24,94.48,91.73,95.24,92.34,59.27
UD_Arabic-PADT,ara,6131,36.78,94.25,93.6,94.64,94.45,94.45,91.53,94.16,96.08,95.69,91.73,94.11
UD_Arabic-PUD,ara,800,21.06,85.6,69.41,79.83,81.92,81.92,73.19,85.29,79.67,87.13,77.58,85.14
UD_Armenian-ArmTDP,hye,824,22.57,93.68,92.68,94.44,95.58,95.58,92.2,94.34,95.96,93.82,90.68,92.11
UD_Bambara-CRB,bam,820,13.66,87.17,84.43,87.85,88.76,88.76,86.71,83.9,92.71,86.18,88.76,86.79
UD_Basque-BDT,eus,7194,13.53,96.24,92.98,96.53,96.5,96.5,95.64,95.75,97.19,96.99,95.28,91.89
UD_Belarusian-HSE,bel,314,20.83,89.93,79.39,89.7,92.51,92.51,81.5,89.81,91.69,88.88,89.93,89.23
UD_Breton-KEB,bre,710,11.35,93.83,92.74,93.73,87.66,87.66,82.59,92.54,92.84,93.03,90.05,93.13
UD_Bulgarian-BTB,bul,8910,14.00,97.43,95.98,97.73,98.05,98.05,94.58,96.56,98.36,97.75,97.09,97.38
UD_Buryat-BDT,bua,741,10.84,88.46,87.5,89.04,86.35,86.35,79.62,89.23,90.19,88.85,87.31,88.37
UD_Cantonese-HK,yue,520,9.85,91.61,99.82,93.75,100,100,98.21,100,100,91.61,98.93,91.43
UD_Catalan-AnCora,cat,13342,32.05,98.25,97.56,98.85,99.38,99.38,98.72,97.2,99.33,98.47,98.47,98.12
UD_Chinese-CFL,cmn,360,15.80,93.03,99.29,94.92,99.65,99.65,97.16,99.76,99.76,91.61,96.57,93.38
UD_Chinese-GSD,cmn,3997,24.70,98.47,99.32,99.18,99.97,99.97,99.98,99.98,99.98,98.43,98.47,98.47
UD_Coptic-Scriptorium,cop,672,26.23,96.46,95,95.99,96.13,96.13,84.57,89.95,97.31,96.13,96.13,96.18
UD_Croatian-SET,hrv,7111,22.14,95.54,95.39,96.14,97.51,97.51,94.64,95.14,97.52,96.01,92.74,95.14
