L1 (transfer language),L1 iso code,L2 (test language),L2 iso code,# L1 examples,# L2 examples,# L2 hallucinated examples,similar script,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,BEST SCORE (Accuracy) from SIGMORPHON
adyghe,ady,kabardian,kbd,10000,100,10000,1,0.3333,0.6000,0.8000,0.5228,0.6153,0.0000,96
albanian,sqi,breton,bre,10000,100,10000,0.9230769231,1.0000,0.5900,0.6000,0.5922,0.5898,1.0000,81
arabic,ara,classical-syriac,syc,10000,100,10000,0,1.0000,0.0000,0.0000,0.0002,0.0000,1.0000,92
arabic,ara,maltese,mlt,10000,100,10000,0.03333333333,1.0000,0.8600,0.8000,0.0002,0.6880,1.0000,41
arabic,ara,turkmen,tuk,10000,100,10000,0,1.0000,0.7700,0.9000,0.8790,0.0000,1.0000,84
armenian,hye,kabardian,kbd,10000,100,10000,0.0303030303,1.0000,0.6300,0.6000,0.4700,0.4819,0.0000,87
asturian,ast,occitan,oci,10000,100,10000,0.8,0.2308,0.7800,0.9000,0.0002,0.0000,0.1000,77
bashkir,bak,azeri,aze,10000,100,10000,0.0303030303,1.0000,0.7000,0.6000,0.5000,0.5983,1.0000,66
bashkir,bak,crimean-tatar,crh,10000,100,10000,0.02941176471,0.2857,0.7000,0.9000,0.8278,0.5983,0.1000,75
bashkir,bak,kazakh,kaz,10000,100,10000,0.9032258065,0.2857,0.8600,0.9000,0.8278,0.5983,0.1000,88
bashkir,bak,khakas,kjh,10000,100,10000,0.88,0.7143,0.7000,0.9000,0.8278,0.5983,0.2000,90
bashkir,bak,tatar,tat,10000,100,10000,0.05405405405,0.1429,0.3400,0.7000,0.8278,0.5983,0.0000,73
bashkir,bak,turkmen,tuk,10000,100,10000,0,0.4286,0.6100,0.8000,0.8278,0.5983,0.1000,96
basque,eus,kashubian,csb,10000,100,10000,0.5625,1.0000,0.5300,0.6000,0.6410,0.6690,0.1000,76
belarusian,bel,old-irish,sga,10000,100,10000,0.07407407407,0.8000,0.7400,0.9000,0.0002,0.0000,1.0000,10
bengali,ben,greek,ell,4243,100,10000,0.01063829787,0.8750,0.7300,0.6000,0.3613,0.5893,0.3000,74.6
bulgarian,bul,old-church-slavonic,chu,10000,100,10000,0.4655172414,0.2857,0.6100,0.6000,0.6162,0.6416,0.0000,56
