Source Language,Target Language,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,BLEU
eus,eng,5182,0.308920188,0.08076457535,0.08539058877999997,0.04121858519,19740,8007,8841,5596,19.13083751,26.19915091,63900,99136,103536,135764,1.0,0.61,0.6,0.3498,0.6205,0.1,0.0337
slk,eng,61470,0.151898144,0.005411290301,0.02882708887,0.004811051528,133585,8057,36449,8001,24.22196193,27.05459574,879319,1488924,1264401,1663046,0.9,0.57,0.6,0.5687,0.5983,0.1,0.2536
mya,eng,21497,0.559329515,0.01838129325,0.04866137954,0.0133084764,101374,8099,21095,7617,20.49639485,26.62427315,181241,440611,433506,572342,1.0,0.73,0.5,0.2566,0.3323,0.4,0.0393
kor,eng,205640,0.154935668,0.001961447354,0.01564395643,0.001423835652,386221,9014,67452,8064,22.34772418,27.541212800000004,2492778,4595586,4311697,5663575,1.0,0.62,0.5,0.4638,0.4866,0.4,0.1623
lit,eng,41919,0.200607444,0.008435909374000001,0.034550765010000005,0.007048972559,107727,8063,29467,7920,22.80094945,26.80331115,537003,955793,852861,1123568,0.9,0.68,0.5,0.3498,0.4694,0.1,0.1375
ara,eng,214111,0.097937828,0.001687436714,0.01520035865,0.001352873232,307823,8409,68998,8063,23.27436703,27.83559929,3142848,4983298,4539235,5959908,1.0,0.57,0.6,0.5687,0.5983,1.0,0.2838
ces,eng,103094,0.12407758699999999,0.0032926176,0.02210423208,0.002892890304,181426,8089,46735,8032,23.82905892,26.93136361,1461945,2456633,2114301,2776462,0.9,0.66,0.6,0.5687,0.5368,0.1,0.2507
epo,eng,6536,0.244006712,0.06251315677,0.08329556037000001,0.037384761180000003,21232,8018,10107,5957,19.62377601,24.37928397,87005,128261,121339,159343,1.0,0.73,0.8,0.5687,0.5983,0.0,0.0328
fin,eng,24222,0.289698648,0.01596104718,0.044904444780000004,0.01208105756,76791,8041,21732,7662,20.79881926,26.18346957,265071,503789,483961,634216,1.0,0.53,0.5,0.2736,0.4694,0.1,0.1379
sqi,eng,44525,0.119293093,0.007187974920000001,0.03303022184,0.006674336379999999,92774,8050,29956,7919,25.15274565,26.647613699999997,777698,1119926,906927,1186485,1.0,0.57,0.6,0.5687,0.5983,1.0,0.29600000000000004
vie,eng,171995,0.017032064,0.0018169396919999999,0.017144723490000003,0.001716614645,65757,8125,61364,8062,25.99962208,27.30575307,3860776,4471805,3579177,4696453,1.0,0.57,0.5,0.4270000000000001,0.455,0.5,0.2467
fra,eng,192304,0.045360874,0.001576770307,0.016277023249999998,0.00153711991,157933,8095,65034,8057,26.69682378,27.25695253,3479808,5133906,3995448,5241621,0.9,0.46,0.5,0.4270000000000001,0.4753,0.0,0.3774
est,eng,10738,0.278924501,0.034753450649999997,0.06488068396,0.02424839442,39161,8022,14100,6917,21.49618178,26.56509592,140394,230826,217322,285256,1.0,0.54,0.7,0.5687,0.5983,0.1,0.099
