Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,eus,slk,0.0962,17,37,0.003384966574270341,0.031499003984063745,61470.0,5182.0,11.86221536086453,0.15189814404199045,0.3089201877934272,0.2583620197926679,1.0,0.53,0.6,0.6409999999999999,0.669,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,mya,0.073,36,18,0.0015852832868206814,0.017571091518688686,21497.0,5182.0,4.148398301813971,0.5593295152337758,0.3089201877934272,0.6570651347107511,1.0,0.67,0.6,0.4259,0.5762,0.4,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,kor,0.0986,12,42,0.0006946480080598876,0.014746489630456494,205640.0,5182.0,39.68351987649556,0.15493566828721153,0.3089201877934272,0.2484628966471936,1.0,0.55,0.6,0.4601,0.6522,0.5,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,lit,0.0946,23,31,0.0035146351604729066,0.030491599253266964,41919.0,5182.0,8.089347742184485,0.2006074442648472,0.3089201877934272,0.12293244876768085,1.0,0.66,0.6,0.3217,0.5417,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,ara,0.1049,4,50,0.0007296306359387357,0.012305068226120857,214111.0,5182.0,41.31821690467001,0.09793782780711062,0.3089201877934272,0.4664442153135082,1.0,0.53,0.6,0.6409999999999999,0.669,1.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,ces,0.0975,14,40,0.0032311623236531022,0.032368290258449305,103094.0,5182.0,19.89463527595523,0.12407758730349787,0.3089201877934272,0.3580235209858794,1.0,0.69,0.6,0.6409999999999999,0.4967,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,epo,0.0592,38,16,0.0060773210973347645,0.032636505460218415,6536.0,5182.0,1.261289077576225,0.2440067115636564,0.3089201877934272,0.04415472188165664,1.0,0.8,0.9,0.6409999999999999,0.669,0.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,fin,0.0469,41,13,0.003988356072142628,0.03072033898305085,24222.0,5182.0,4.674257043612505,0.2896986479145289,0.3089201877934272,0.0038715402047041375,1.0,0.62,0.6,0.3498,0.5621,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,sqi,0.0962,17,37,0.006550295963169027,0.04016939652488012,44525.0,5182.0,8.59224237746044,0.11929309320584595,0.3089201877934272,0.3767976639151002,1.0,0.53,0.6,0.6409999999999999,0.669,1.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,vie,0.1087,2,52,0.008725452355053395,0.0407265063228366,171995.0,5182.0,33.19085295252798,0.01703206375296993,0.3089201877934272,0.8927714024284452,1.0,0.69,0.6,0.4934,0.6038,0.5,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,fra,0.096,20,34,0.004142441451430437,0.034902496584275244,192304.0,5182.0,37.109996140486295,0.045360873894685384,0.3089201877934272,0.727887323964991,1.0,0.6,0.6,0.3918,0.5822,0.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,est,0.0382,45,9,0.004363253595015364,0.02826127643645892,10738.0,5182.0,2.072172906213817,0.2789245014245014,0.3089201877934272,0.009428118397027794,1.0,0.64,0.8,0.6409999999999999,0.669,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,mkd,0.094,26,28,0.00204688097263838,0.012922465208747515,25335.0,5182.0,4.889038981088382,0.15146630461614416,0.3089201877934272,0.2597850598174754,1.0,0.68,0.6,0.6409999999999999,0.4569,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,bos,0.0355,49,5,0.005846580102843457,0.029274077772923037,5664.0,5182.0,1.0930142802006948,0.2864072802025621,0.3089201877934272,0.00531093024149613,1.0,0.64,0.8,0.6409999999999999,0.669,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,swe,0.0968,16,38,0.006326066861808657,0.03982576228998133,56647.0,5182.0,10.931493631802391,0.09793445344690482,0.3089201877934272,0.4664591356450944,1.0,0.68,0.7,0.6409999999999999,0.6212,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,pol,0.0935,28,26,0.002814386502104687,0.034643322778916,176378.0,5182.0,34.0366653801621,0.1171314912318414,0.3089201877934272,0.38543702881051695,1.0,0.61,0.6,0.2163,0.5494,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
