Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,bxr,0.2588,16,45,0.0008403361344537816,927,948,0.9778481012658228,0.6023336111441838,0.0925206033276318,30.36301626333194,1.0,0.0002,0.7616,0.0002,0.6737,0.4976
pcm,kmr,0.2825,10,51,0.015126050420168067,754,948,0.7953586497890295,0.3877346961448728,0.0925206033276318,10.18115992495738,0.875,0.7097,0.6285,0.5456,0.4975,0.2466
pcm,hsb,0.2642,13,48,0.0226890756302521,646,948,0.6814345991561181,0.5423194196193881,0.0925206033276318,23.6352229913148,0.8333,0.0002,0.7616,0.0002,0.6737,0.2356
pcm,kk,0.3111,7,54,0.0008403361344537816,1078,948,1.1371308016877637,0.6191198786039454,0.0925206033276318,32.39541903109942,1.0,0.8705,1.0,0.879,0.6737,0.3473
pcm,hy,0.2966,9,52,0.0008403361344537816,564,948,0.5949367088607594,0.5479001354751306,0.0925206033276318,24.225352261142554,0.75,0.5391,0.6822,0.6162,0.4726,0.2621
pcm,swl,0.1052,43,18,0.0008403361344537816,203,948,0.2141350210970464,0.4872907625542468,0.0925206033276318,18.205881906648266,1.0,0.0002,0.7616,0.0002,0.6737,0.2783
pcm,lt,0.2967,8,53,0.010084033613445379,263,948,0.27742616033755274,0.5654157163591126,0.0925206033276318,26.12478588136606,0.75,0.6128,0.6677,0.6409999999999999,0.5129,0.2672
pcm,be,0.0036,59,2,0.0008403361344537816,393,948,0.41455696202531644,0.5525618374558304,0.0925206033276318,24.723878881548544,0.8,0.7441,1.0,0.0002,0.6737,0.2603
pcm,mr,0.2302,20,41,0.0016806722689075631,466,948,0.49156118143459915,0.5290718671000361,0.0925206033276318,22.26350755500561,0.8571,0.6704,0.5809,0.0002,0.4608,0.3915
pcm,cop,0.1381,35,26,0.0025210084033613447,514,948,0.5421940928270043,0.4940717882085432,0.0925206033276318,18.836703907488364,1.0,0.6779999999999999,1.0,0.0002,0.6737,0.1782
pcm,ta,0.2806,11,50,0.0016806722689075631,600,948,0.6329113924050633,0.5614149588826524,0.0925206033276318,25.684617195666796,1.0,0.6555,0.6086,0.0002,0.4963,0.4071
