,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
600,ind,nld,9.4,101.0,101197.0,0.07218874409780134,0.002208919942600329,0.08411461214524436,0.0019170445386263847,128072.0,6302.0,157376.0,6134.0,17.531418915580502,18.48840380643695,1774127.0,2852978.0,1870971.0,3199717.0,,,,,,
601,ind,pol,5.5,93.0,93486.0,0.0713572312836928,0.002368538782512545,0.11865385560524895,0.0019051178480218114,115742.0,6152.0,183483.0,5964.0,17.35027704683054,16.541214727338854,1622008.0,2597382.0,1546372.0,3130515.0,,,,,,
602,ind,por,14.6,204.0,204470.0,0.0461873924122428,0.0011211951157024866,0.04450575119181091,0.0009396646149207557,200000.0,7676.0,218447.0,7461.0,21.177610407394727,24.00492492786228,4330186.0,6846266.0,4908287.0,7940067.0,,,,,,
603,ind,pt-br,16.7,,,,,,,,,,,,,,,,,,,,,,
604,ind,ron,9.8,94.0,94439.0,0.061514223513848526,0.0019958611899719056,0.07113533695386663,0.0015634631886541428,118111.0,6079.0,156383.0,5978.0,20.331219093806585,23.278380753714035,1920060.0,3045803.0,2198387.0,3823563.0,,,,,,
605,ind,rus,8.1,127.0,127410.0,0.05957572176058412,0.001734266864203138,0.1059247309783894,0.0014438785806816293,138316.0,6354.0,239601.0,6575.0,18.22214896789891,17.753653559375245,2321684.0,3663796.0,2261993.0,4553707.0,,,,,,
606,ind,slk,3.6,37.0,37954.0,0.09410089065668836,0.004921684214292742,0.16459774276114805,0.0042839754152203405,64681.0,5502.0,103663.0,5413.0,18.110291405385468,16.593666016757126,687358.0,1117910.0,629796.0,1263546.0,,,,,,
607,ind,slv,5.6,46.0,46656.0,0.08625887375703799,0.003976973310233234,0.14363998999842995,0.003488911989563341,74594.0,5562.0,123511.0,5568.0,18.53500085733882,18.42989111796982,864769.0,1398551.0,859865.0,1595913.0,,,,,,
608,ind,srp,1.8,56.0,56109.0,0.07849024073263777,0.003311836773675818,0.1474783657493242,0.002722377907396248,84130.0,5687.0,154556.0,5584.0,19.10304942166141,18.67777005471493,1071853.0,1717174.0,1047991.0,2051148.0,,,,,,
609,ind,swe,9.3,79.0,79193.0,0.07592729967771554,0.00252954606671306,0.1094430056985745,0.00226384271163526,110233.0,5954.0,153489.0,5787.0,18.33271880090412,17.709342997487152,1451823.0,2353782.0,1402456.0,2556273.0,,,,,,
610,ind,tur,4.6,79.0,79176.0,0.07400301787687312,0.0025461636985022944,0.11983279354597502,0.002462896876003161,106963.0,5934.0,159618.0,5900.0,18.255367788218653,16.823355562291606,1445387.0,2330565.0,1332006.0,2395553.0,,,,,,
611,ind,ukr,7.3,73.0,73379.0,0.07490375852304766,0.0027860845342537396,0.12850868848051047,0.0022702726706114273,98298.0,5849.0,163452.0,5726.0,17.88419029967702,17.333487782608106,1312324.0,2099362.0,1271914.0,2522164.0,,,,,,
612,ind,vie,18.5,146.0,146746.0,0.05275405130055337,0.0013845109949209293,0.029484806832744837,0.0011567529502417143,168443.0,7113.0,130658.0,7428.0,21.75859648644597,30.19753178962289,3192987.0,5137554.0,4431367.0,6421423.0,,,,,,
613,ind,cmn,11.0,83.0,,,,,,,,,,,,,,,,,,,,,
614,ind,zh-tw,6.2,,,,,,,,,,,,,,,,,,,,,,
615,ita,ara,5.3,123.0,123838.0,0.052720812403145655,0.00128583835959497,0.0896497390680193,0.0013630835235415412,152991.0,6415.0,218823.0,6034.0,23.43310615481516,19.71015358775174,2901909.0,4988963.0,2440866.0,4426728.0,,,,,,
616,ita,bul,11.7,102.0,102305.0,0.06283073615474774,0.0016982993062849767,0.08761537281038301,0.0019170514968868894,125548.0,5887.0,159856.0,6053.0,19.531733541860124,17.83412345437662,1998194.0,3466409.0,1824520.0,3157453.0,,,,,,
617,ita,bos,5.0,52.0,52824.0,0.09102175560125554,0.003403867941797816,0.15960338797732362,0.003541892613676753,84095.0,5504.0,127872.0,5431.0,17.490155989701652,15.167083144025442,923900.0,1616984.0,801186.0,1533361.0,,,,,,
