en eng
an 	arg
ar 	ara
arz arz
az 	aze
ba 	bak
bar	bar
be	bel
bg	bul
bn	ben
br	bre
bs	bos	
ca	cat
ceb	ceb
cs	ces
da	dan
de	deu
el	ell
eo	epo
es	spa
et	est
eu	eus
fa	fas
fi	fin
fo	fao
fr	fra
fy	fry
gl	glg
he	heb
hi	hin
hr	hrv
hu	hun
id	ind
io	ido
is	isl
it	ita
ja	jpn
jv	jav
ka	kat
kk	kaz
ko	kor
la	lat
lb	ltz
lmo	lmo
lt	lit
mg	mlg
mk	mkd
ml	mal
mr	mar
mwl	mwl
nds_nl nds_nl
nds	nds
ne	nep
nl	nld
no	nor
oc	occ
pl	pol
pt	por
ro	ron
ru	rus
sh	serbocroatian
simple simple
si	sin
sk	slk
sl	slv
sq	sqi
sr	srp
sv	swe
sw	swa
ta 	tam
te	tel
tg	tgk
tl 	tgl
tr 	tur
tt 	tat
ug 	uig
uk 	ukr
vi 	vie
wuu wuu
zh 	cmn
nb nob
