,az,be,cs,en,es,gl,pt,ru,sk,tr
az,--,4.8,21.4,23.6,32.6,13.6,26.7,10.4,15,31.8
be,4,--,26.1,3.8,12.3,9.3,11.3,42,23.1,2.9
cs,2.6,5.4,--,57.1,55.5,11.9,52.3,44.7,71.2,31.6
en,12.2,2.5,47.3,--,79.3,32,72.9,39.7,34.3,40.6
es,7.8,2.4,45,76.7,--,37.1,83.4,38.9,34.3,38.2
gl,2.7,1.8,14,38.5,61.2,--,53.3,11.4,12.9,8.5
pt,2.9,2.3,44.9,72.2,88.7,36.3,--,33.7,33.7,34.6
ru,1.7,12,48.6,50.2,49.4,6.6,46.8,--,44.6,21.1
sk,0.3,5.2,71.8,48,46.4,9.3,44.4,43.2,--,21.2
tr,10.8,0.3,35.8,48,50.9,3.5,45.9,26.9,20.3,--
,,,,,,,,,,
,en,fr,hi,ko,ru,sv,uk,,,
en,--,80.3,17.9,9.5,--,60,25.9,,,
fr,76.6,--,11.9,5.1,38,52.4,26.8,,,
hi,24.2,17,--,0.4,3.1,3.3,2.3,,,
ko,12.4,7.1,0.4,--,2.5,2.2,0.6,,,
ru,--,47.3,3.2,1.6,--,35.8,58.8,,,
sv,53.3,47.8,5.2,2.3,27.8,--,19.9,,,
uk,37.4,40.3,4.1,0.3,60.7,30.2,--,,,
