,az,be,cs,en,es,gl,pt,ru,sk,tr
az,--,15.86,32.43,32.38,37.81,28.48,37.29,26.58,29.38,28.71
be,14.41,--,35.31,32.74,43.67,30.56,36.58,43.49,30,20.77
cs,6.78,8.65,--,57.45,56.75,35.66,54.09,44.59,73.49,34.75
en,20.12,18.06,46.41,--,69.91,40.83,63.5,40.34,40.19,37.7
es,11.66,8.9,45.09,69.49,--,39.37,81.19,40.52,40.7,39.89
gl,5.34,2.44,29.14,46.11,58.44,--,51.64,26.57,28.53,22.47
pt,6.72,6.97,43.48,66.21,85.68,41.17,--,38.29,39.81,36.61
ru,8.06,10.33,52.43,59.13,59.29,29.87,55.55,--,49.93,27.73
sk,2.92,9.26,70.16,56.73,52.35,36.62,50.96,45.47,--,31.23
tr,14.2,9.74,42.37,45.51,50.21,28.06,49.11,32.33,34.57,--
,,,,,,,,,,
,en,fr,hi,ko,ru,sv,uk,,,
en,--,69.82,35,19.2,--,56.49,23.63,,,
fr,68.44,--,28.27,15.53,38.18,49.71,26.95,,,
hi,44.61,38.52,--,14.01,20.39,26.26,14.72,,,
ko,32.69,18.32,12.93,--,11.72,18.45,7.21,,,
ru,--,55.18,21.65,10.65,--,47.58,55.12,,,
sv,51.94,46.92,27.46,12.66,34.29,--,26.96,,,
uk,42.61,47.82,17.92,5.21,57.64,43.23,--,,,
